Names	total	elements
		CHEMBL2325110
		CHEMBL5192750
		CHEMBL3740910
		CHEMBL330224
		CHEMBL3676351
		CHEMBL333082
		CHEMBL4064776
		CHEMBL5078413
		CHEMBL398793
		CHEMBL2441565
		CHEMBL4871192
		CHEMBL1929307
		CHEMBL4746770
		CHEMBL437890
		CHEMBL2064386
		CHEMBL605957
		CHEMBL5203220
		CHEMBL4743998
		CHEMBL470003
		CHEMBL608860
		CHEMBL3942228
		CHEMBL91914
		CHEMBL213173
		CHEMBL3218002
		CHEMBL5275916
		CHEMBL5181037
		CHEMBL5284924
		CHEMBL2426283
		CHEMBL5272590
		CHEMBL3663927
		CHEMBL206783
		CHEMBL4862351
		CHEMBL4529521
		CHEMBL1821895
		CHEMBL193160
		CHEMBL1645476
		CHEMBL2408830
		CHEMBL118205
		CHEMBL205059
		CHEMBL5198314
		CHEMBL3671490
		CHEMBL4472983
		CHEMBL56543
		CHEMBL4740063
		CHEMBL4643903
		CHEMBL308133
		CHEMBL3622621
		CHEMBL605161
		CHEMBL3622632
		CHEMBL554053
		CHEMBL78184
		CHEMBL606466
		CHEMBL249919
		CHEMBL4790568
		CHEMBL5087931
		CHEMBL1172418
		CHEMBL3671549
		CHEMBL31419
		CHEMBL110945
		CHEMBL77197
		CHEMBL3663931
		CHEMBL182397
		CHEMBL495733
		CHEMBL4761468
		CHEMBL4227091
		CHEMBL3759963
		CHEMBL4105656
		CHEMBL57690
		CHEMBL4557993
		CHEMBL4468521
		CHEMBL1683964
		CHEMBL331026
		CHEMBL15202
		CHEMBL418909
		CHEMBL332879
		CHEMBL190094
		CHEMBL453379
		CHEMBL1958034
		CHEMBL162821
		CHEMBL2018756
		CHEMBL4250273
		CHEMBL245868
		CHEMBL304271
		CHEMBL1614725
		CHEMBL4074782
		CHEMBL5197154
		CHEMBL2031307
		CHEMBL3237945
		CHEMBL4437803
		CHEMBL432903
		CHEMBL4741925
		CHEMBL4082724
		CHEMBL3908272
		CHEMBL4784777
		CHEMBL3325470
		CHEMBL4750343
		CHEMBL454383
		CHEMBL3980622
		CHEMBL316064
		CHEMBL271410
		CHEMBL401443
		CHEMBL5277831
		CHEMBL214744
		CHEMBL3814959
		CHEMBL3604928
		CHEMBL296407
		CHEMBL593760
		CHEMBL3965391
		CHEMBL441333
		CHEMBL63356
		CHEMBL55979
		CHEMBL3931858
		CHEMBL217536
		CHEMBL3633151
		CHEMBL1081849
		CHEMBL2029698
		CHEMBL4087489
		CHEMBL2070196
		CHEMBL4286733
		CHEMBL1821873
		CHEMBL80030
		CHEMBL3217993
		CHEMBL1812573
		CHEMBL112225
		CHEMBL2347963
		CHEMBL2442319
		CHEMBL2047017
		CHEMBL5206775
		CHEMBL4128415
		CHEMBL596964
		CHEMBL397949
		CHEMBL161895
		CHEMBL4105621
		CHEMBL123322
		CHEMBL1641998
		CHEMBL3746168
		CHEMBL3671555
		CHEMBL3671479
		CHEMBL2322329
		CHEMBL67057
		CHEMBL278287
		CHEMBL69966
		CHEMBL598377
		CHEMBL204085
		CHEMBL3608434
		CHEMBL4538066
		CHEMBL4071151
		CHEMBL2325098
		CHEMBL3747776
		CHEMBL1828882
		CHEMBL3357637
		CHEMBL3671531
		CHEMBL1944926
		CHEMBL4459978
		CHEMBL4793338
		CHEMBL4527702
		CHEMBL4436563
		CHEMBL281872
		CHEMBL415738
		CHEMBL5071181
		CHEMBL510845
		CHEMBL515401
		CHEMBL2385986
		CHEMBL3913728
		CHEMBL2332119
		CHEMBL301549
		CHEMBL1821890
		CHEMBL3357645
